,text,task_1
0,"Bangladesh की शानदार वापसी, India To 314 Run But रोका #INDvBAN #CWC19",NOT
1,सब रंडी Dance to see मे Busy As only Any #Messenger of peace के साथ Some होगा All #cryingrooster Start कर देंगे,HOF
2,You जैसे हरामियों Of For Bus जूतों की less Is शुक्र Tax अभी Your lynching हुई No है Hindus Of जागने की देर है Truth में will be Now So You जैसे Bastard pig ड्रामा create Are pig कहीं Of मौलाना। You जैसे हरामियों dogs Did Death मारना Needed pig like शक्ल whore की offspring सुवर somewhere Of ।।।।,HOF
3,"BJP MLA आकाश Vijayvargiya जेल From released, जमानत to meet की Happiness में एक समर्थक has Indore में हर्ष firing Did #AkashVijayvargiya https://abpnews.abplive.in/india-news/celebratory-firing-outside-bjp-mla-akash-vijayvargiya-office-in-indore-1157241 …",NOT
4,"tinsel बुखार: Assembly परिसर In RJD का Display, तेजस्वी यादव नदारद #springencephalitisdeaths https://abpnews.abplive.in/bihar-news/aes-deaths-rjd-protest-in-vidhan-sabha-campus-but-tejashwi-yadav-was-not-present-1158748 … (Report- @kumarprakash4u )",NOT
5,Mumbai में Rain From लोगों को काफी Problem Are रही Is,NOT
6,Ahmed's dad:-- beta aaj teri mammy kyu nahi baat kr rhi h. Ahmed....,NOT
7,"5 Lakh मुसलमान Ursa में, Ajmer Did Dargah But आते Are, Only 300 Police people Of trust, 2 लाख Hindus Did अमरनाथ यात्रा के For, 80 Thousand कमांडो, पैरामिलिट्री force, And Millions Of उपकरण लगाए जा रहे हैं #खतरे में #Who Is ?",NOT
8,"Do superpowers mili hain, charo level happy ki neck two, pay attention hone alone khus hi rhe hain gold Devotees ko taklif ho rhi two, khair honi bhi Needed.",NOT
9,Chants of 'Jai Sri Ram' as O outer wire takes oath: AIMIM chief responds with 'Jai Bhim' @thenewsminute @Advice,NOT
10,नृत्य Will happen..! संगीत Will happen..! जीवन मे Celebration होगा..! 'वह'आतुर है lives में get off To.. you heart Duvar तो Open..! Place So below Do..! #हिंदी_शब्द,NOT
11,"cows के नाम But जुल्म to do वालों Your Status Is Wool देश के Ten बड़े cows Of मांस export करने वाले Hindus From Maths लेने Did,,,",NOT
12,"Dr. Mukherjee has One Country In Two Legislation दो प्रधान And दो निशान Of Oppose Do happened Kashmir को भारत का integral Organ मानकर permit Rule को End to do की लड़ाई लड़ी, उनके बलिदान से ही permit Rule खत्म Happened- Mister @ManojTiwariMP",NOT
13,"धार्मिक posts पर बैठे Some People Our को God Understanding take हैं,कुछ लोग not मस्तक हो उन्हें God का दर्जा to unleash के For My  Time Ruined Do Are,,,",NOT
14,coin मोहब्बत Of boom रक्खा Is ~ हाँ मगर खुद To handle kept है || अकेले तुम only No जो Worried हो ~ उसने many To confusion In Branch kept Is || ~ Shahrukh siddiqui @Rekhta #shahrukhsiddiqui @srspoet,NOT
15,angle Says है eyes In Dear नही होता। जो डूब गया फिर उसमे से Par No होता। These इश्क़ Of बाज़ार Of दस्तूर Is era In. Who heist Went He कभी buyer नही Would. Naeem #बज़्म #hindi_word @speculate @10398108Ritesh @Shaheen31304594 @queen_hoon11 @mahir_nagpuri @khushi_a_pal,NOT
16,वैसे Oath Of अंत In ' Victory India Jay constitution' Speak भी सभी के For Mandatory किया जा Can Are.,NOT
17,"One long interval Of बाद Your Middle #MannKiBaat, जन-जन Did बात, जन-मन Did बात इसका हम continuation Ongoing कर रहे हैं। Election की emergency In preoccupation तो ज्यादा थी But मन Did Talk Of मजा only Missing Was, One less Feel Tax रहा था। We 130 करोड़ countrymen Of स्वजन के रूप In बातें Do थे: PM Yes ।",NOT
18,"#नीच'समानार्थी शब्द #मोदी' given So will work की, Lay perfect sat down",HOF
19,Doctor की wrote 7 दिन Did दवा Of instead 3 दिन की दवा ही Take.. One आम Indian Property Is..,NOT
20,इस motherfucker To धुण्डके ass मे गोली die @uppolice,HOF
21,"Indian रेल Of monday से change जाएगा time table, ईस्टर्न सेंट्रल रेलवे has These trains Of Time में किया shift",NOT
22,"You cry in front of ur god Of being deceived by the world Some fine day u die Reach hell God tells you You fucker or You fucker, no one deceived you more than urself.",HOF
23,बस एक Question का answer Needed कि That चिटफंड scams In Test Of आदेश 2014 In आए उसमें enquiry/action 2019 In क्यों Start Are रही है? इसी Question In All hidden Is. Who सही Who Wrong Identification लीजिए। @LambaAlka @AbbasAliRushdi @SanjayAzadSln Follow Do @mirza__786,NOT
24,consequences to come से Earlier ज़िम्मेदारी to meet शुरू Are gone Is Kejrival has Own Garland की responsibility मुसलमानो को दे Gave @ArvindKejriwal @roflfact @ZakirAliTyagi @asadowaisi,NOT
25,Click करें And Read This स्मार्टफोन Of बारे में..,NOT
26,To the extent तो Then हो जाती Are When Reservation Of लाभ pick up वाले People only आरक्षण के Against भोंकने seem goes हैं,HOF
27,#AIMIM National Spokesperson @syedasimwaqar live on @News18India #AarPaar @AMISHDEVGAN @Advice,NOT
28,हरि ॐ नमो Narayana Hymn hearing झूम picking Devotees का flood. #Hari Om #narayana #radheradhe #Long live Shri Krishna #Jai Shri Ram #Kalyug #ghanshyam #kanhaiya #acharyapramodkrishnam @AcharyaPramodk,NOT
29,प्लीज Call मेरी Forced Fuck करो No,HOF
30,"ठोकरें Account हूँ पर 'magnificence' से walks am, I open Sky Of नीचे सीना तान के चलता am! difficulties So 'Saaz' Are Life Of उठूंगा गिरूंगा Then उठूंगा And after all In… जीतूंगा I ही These ठान Of walks हूँ!!.आदरणीय Akhilesh Yadav जिंदाबाद",NOT
31,#CWC2019 में भारत To पहली हार Of face करना It was lying Rohit Sharma का शतक And Mohamed शमी के 5 विकेट Too Work न Returns And इंग्लैंड 31 Run From Victory Went,NOT
32,"whether Delhi हो, उत्तर State, Middle State या Then राजस्थान। Country Of हर corner से little ones मासूमों Of साथ हर Daily रेप brutality Did ख़बरें आ doing Is लेकिन Our देश Of Law This much नाकारा हैं That अपराधियों के हौसले lofty Are. सरकारें भी Own Politics Of Dizziness In Any कड़े Verdict No Take doing हैं",NOT
33,Boundless Shah From Afterwards में फिर तू will ask यह What Tax दिया रंडी,HOF
34,sir ap se and request h ak bar fir ap Mulayam ji is aage kr de by seeing parti but ugh jaygi,NOT
35,"Flower Did thorns से friendship unmatched Is thorns How much Pain flowers को giving Are फिर भी फूल मुस्कुराते happened खिलते Are thorns को भी तो देखो , flowers Did रक्षा Do Are खुद Pain co-operatively फूलों को safe keeping Are । #आपकी_काँची #hindi_word #शब्दनिधि",NOT
36,Question Hour in Rajya Sabha. 1. Sanskrit महाविद्यालय । https://m.facebook.com/story.php?story_fbid=443161759855093&id=464554060349094 …,NOT
37,"Capital Delhi In Heat का havoc Ongoing, आज शाम mild बारिश Did संभावना #rain https://abpnews.abplive.in/india-news/heat-rises-in-delhi-the-possibility-of-light-rain-this-evening-1157497 …",NOT
38,#कुत्ते And #chicken Etcetera लड़वाने people speechless #animals From भी बद fresh And #लानती हैवान नुमा #इंसान Is जो World Of चंद #coins के For यह disgusting Work Do Are,NOT
39,"Loan देने Of नाम पर Bank Personal finance कंपनियां the whole देश को लूट रही Are और Country Of Prime Minister Yoga करना teach Stayed Is,",NOT
40,नफरत to do है उतनी कर लो randvo Bazaroo whore That Children.,HOF
